ObservedAgentID;ContractID;InstrumentID;InstrumentTypeAnaCredit;ProjectFinanceLoan;Currency;InceptionDate;SettlementDate;LegalFinalMaturityDate;EndDateOfInterestOnlyPeriod;InterestRateCap;InterestRateFloor;InterestRateResetFrequency;InterestRateSpread;InterestRateType;CommitmentAmountAtInception;AmortisationType;PaymentFrequency;PurposeAnaCredit;PurposeCCR;Recourse;ReferenceRate;SubordinatedDebt;SyndicatedContractID;RepaymentRights;FiduciaryInstrument;FairvalueChangesDueToChangesInCreditRiskBeforePurchase;EndDateOfInstrument;Covid19Moratorium202004GrantingDate;Covid19CountryGuarantee202004Fee;InterestRate;NextInterestRateResetDate;TransferredAmount;DefaultStatusOfTheInstrumentAnaCredit;DateOfTheDefaultStatusOfTheInstrumentAnaCredit;ArrearsForTheInstrument;DateOfPastDueForTheInstrument;TypeofSecuritisation;OutstandingNominalAmount;AccruedInterest;OffBalancesheetAmount;AccountingClassificationOfInstruments;BalanceSheetRecognition;AccumulatedWriteoffs;AccumulatedImpairmentAmount;TypeofImpairment;ImpairmentAssessmentMethod;SourcesOfEncumbrance;AccumulatedChangesInFairValueDueToCreditRisk;PerformingStatusOfTheInstrument;DateOfThePerformingStatusOfTheInstrument;ProvisionsAssociatedToOffBalancesheetExposures;StatusOfForbearanceAndRenegotiation;DateOfTheForbearanceAndRenegotiationStatus;CumulativeRecoveriesSinceDefault;PrudentialPortfolio;CarryingAmount
47;CAU000000102;CAU000000102;9004;2;EUR;19/07/2021;NotApplicable;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;NotApplicable;0;98400.00; ;4;11;1;2; ;2;NotApplicable;2;2;NotApplicable;NotApplicable; ;0;NotApplicable;NotRequired;0.00;0;NotApplicable;0.00;NotApplicable;7;0.00;0.00;98400.00;6;1;0.00;NotApplicable;0;0;1;0.00;11;45565;0.00;8;45565;NotApplicable;2;0.00
47;CAU000000177;CAU000000177;9004;2;EUR;25/11/2022;NotApplicable;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;NotApplicable;0;223000.00; ;4;11;1;2; ;2;NotApplicable;2;2;NotApplicable;NotApplicable; ;0;NotApplicable;NotRequired;0.00;0;NotApplicable;0.00;NotApplicable;7;0.00;0.00;223000.00;6;1;0.00;NotApplicable;0;0;1;0.00;11;45565;0.00;8;45565;NotApplicable;2;0.00
47;CAU000000178;CAU000000178;9004;2;EUR;25/11/2022;NotApplicable;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;NotApplicable;0;223000.00; ;4;11;1;2; ;2;NotApplicable;2;2;NotApplicable;NotApplicable; ;0;NotApplicable;NotRequired;0.00;0;NotApplicable;0.00;NotApplicable;7;0.00;0.00;223000.00;6;1;0.00;NotApplicable;0;0;1;0.00;11;45565;0.00;8;45565;NotApplicable;2;0.00
47;PRE000000233;PRE000000233;1000;2;EUR;13/09/2023;13/09/2023;16/09/2024;NotApplicable;NotApplicable;NotApplicable;0;NotApplicable;1;650000.00;5;4;4;1;1;0;2;NotApplicable;2;2;NotApplicable;45551; ;0;NotApplicable;NotApplicable;0.00;0;NotApplicable;0.00;NotApplicable;7;0.00;NotApplicable;0.00;6;2;0.00;NotApplicable;0;0;1;0.00;11;45565;0.00;8;45565;NotApplicable;2;0.00
47;PRE000000241;PRE000000241;1000;2;EUR;25/09/2023;25/09/2023;25/09/2024;NotApplicable;NotApplicable;NotApplicable;0;NotApplicable;1;650000.00;5;4;4;1;1;0;2;NotApplicable;2;2;NotApplicable;45560; ;0;NotApplicable;NotApplicable;0.00;0;NotApplicable;0.00;NotApplicable;7;0.00;NotApplicable;0.00;6;2;0.00;NotApplicable;0;0;1;0.00;11;45565;0.00;8;45565;NotApplicable;2;0.00
47;PRE000000256;PRE000000256;1000;2;EUR;10/10/2023;10/10/2023;10/10/2024;NotApplicable;NotApplicable;NotApplicable;0;NotApplicable;1;855000.00;5;4;4;1;1;0;2;NotApplicable;2;2;NotApplicable;NotApplicable; ;0;0.039100;NotApplicable;0.00;0;NotApplicable;0.00;NotApplicable;7;855000.00;33151.91;0.00;6;2;0.00;NotApplicable;0;0;1;0.00;11;45565;0.00;8;45565;NotApplicable;2;888151.91
47;PRE000000272;PRE000000272;1000;2;EUR;25/10/2023;25/10/2023;24/10/2024;NotApplicable;NotApplicable;NotApplicable;0;NotApplicable;1;50000.00;5;4;4;1;1;0;2;NotApplicable;2;2;NotApplicable;NotApplicable; ;0;0.041000;NotApplicable;0.00;0;NotApplicable;0.00;NotApplicable;7;50000.00;1953.19;0.00;6;2;0.00;NotApplicable;0;0;1;0.00;11;45565;0.00;8;45565;NotApplicable;2;51953.19
47;PRE000000279;PRE000000279;1000;2;GBP;07/11/2023;07/11/2023;06/11/2024;NotApplicable;NotApplicable;NotApplicable;0;NotApplicable;1;179464.62;5;4;4;1;1;0;2;NotApplicable;2;2;NotApplicable;NotApplicable; ;0;0.054500;NotApplicable;0.00;0;NotApplicable;0.00;NotApplicable;7;155000.00;7637.47;0.00;6;2;0.00;NotApplicable;0;0;1;0.00;11;45565;0.00;8;45565;NotApplicable;2;162637.47
47;PRE000000281;PRE000000281;1000;2;EUR;08/11/2023;08/11/2023;07/11/2024;NotApplicable;NotApplicable;NotApplicable;0;NotApplicable;1;100000.00;5;4;4;1;1;0;2;NotApplicable;2;2;NotApplicable;NotApplicable; ;0;0.039600;NotApplicable;0.00;0;NotApplicable;0.00;NotApplicable;7;100000.00;3619.00;0.00;6;2;0.00;NotApplicable;0;0;1;0.00;11;45565;0.00;8;45565;NotApplicable;2;103619.00
47;PRE000000282;PRE000000282;1000;2;EUR;10/11/2023;10/11/2023;11/11/2024;NotApplicable;NotApplicable;NotApplicable;0;NotApplicable;1;275000.00;5;4;4;1;1;0;2;NotApplicable;2;2;NotApplicable;NotApplicable; ;0;0.039600;NotApplicable;0.00;0;NotApplicable;0.00;NotApplicable;7;275000.00;9861.50;0.00;6;2;0.00;NotApplicable;0;0;1;0.00;11;45565;0.00;8;45565;NotApplicable;2;284861.50
47;PRE000000300;PRE000000300;1000;2;EUR;05/12/2023;05/12/2023;06/12/2024;NotApplicable;NotApplicable;NotApplicable;0;NotApplicable;1;847316.46;5;4;4;1;1;0;2;NotApplicable;2;2;NotApplicable;NotApplicable; ;0;0.036100;NotApplicable;0.00;0;NotApplicable;0.00;NotApplicable;7;847316.46;25575.07;0.00;6;2;0.00;NotApplicable;0;0;1;0.00;11;45565;0.00;8;45565;NotApplicable;2;872891.53
47;PRE000000303;PRE000000303;1000;2;EUR;08/12/2023;08/12/2023;04/12/2024;NotApplicable;NotApplicable;NotApplicable;0;NotApplicable;1;11500000.00;5;4;4;1;1;0;2;NotApplicable;2;2;NotApplicable;NotApplicable; ;0;0.038000;NotApplicable;0.00;0;NotApplicable;0.00;NotApplicable;7;11500000.00;366594.44;0.00;6;2;0.00;NotApplicable;0;0;1;0.00;11;45565;0.00;8;45565;NotApplicable;2;11866594.44
47;PRE000000305;PRE000000305;1000;2;EUR;12/12/2023;12/12/2023;11/09/2024;NotApplicable;NotApplicable;NotApplicable;0;NotApplicable;1;5400000.00;5;4;4;1;1;0;2;NotApplicable;2;2;NotApplicable;45546; ;0;NotApplicable;NotApplicable;0.00;0;NotApplicable;0.00;NotApplicable;7;0.00;NotApplicable;0.00;6;2;0.00;NotApplicable;0;0;1;0.00;11;45565;0.00;8;45565;NotApplicable;2;0.00
47;PRE000000323;PRE000000323;1000;2;USD;11/01/2024;11/01/2024;13/01/2025;NotApplicable;NotApplicable;NotApplicable;0;NotApplicable;1;2128221.90;5;4;4;1;1;0;2;NotApplicable;2;2;NotApplicable;NotApplicable; ;0;0.050400;NotApplicable;0.00;0;NotApplicable;0.00;NotApplicable;7;2306354.08;85242.85;0.00;6;2;0.00;NotApplicable;0;0;1;0.00;11;45565;0.00;8;45565;NotApplicable;2;2391596.93
47;PRE000000337;PRE000000337;1000;2;EUR;23/01/2024;23/01/2024;22/01/2025;NotApplicable;NotApplicable;NotApplicable;0;NotApplicable;1;100000.00;5;4;4;1;1;0;2;NotApplicable;2;2;NotApplicable;NotApplicable; ;0;0.036200;NotApplicable;0.00;0;NotApplicable;0.00;NotApplicable;7;100000.00;2544.06;0.00;6;2;0.00;NotApplicable;0;0;1;0.00;11;45565;0.00;8;45565;NotApplicable;2;102544.06
47;PRE000000350;PRE000000350;1000;2;EUR;02/02/2024;02/02/2024;03/02/2025;NotApplicable;NotApplicable;NotApplicable;0;NotApplicable;1;2000000.00;5;4;4;1;1;0;2;NotApplicable;2;2;NotApplicable;NotApplicable; ;0;0.034800;NotApplicable;0.00;0;NotApplicable;0.00;NotApplicable;7;2000000.00;46786.67;0.00;6;2;0.00;NotApplicable;0;0;1;0.00;11;45565;0.00;8;45565;NotApplicable;2;2046786.67
47;PRE000000374;PRE000000374;1000;2;EUR;28/02/2024;28/02/2024;26/02/2025;NotApplicable;NotApplicable;NotApplicable;0;NotApplicable;1;140000.00;5;4;4;1;1;0;2;NotApplicable;2;2;NotApplicable;NotApplicable; ;0;0.036900;NotApplicable;0.00;0;NotApplicable;0.00;NotApplicable;7;140000.00;3099.60;0.00;6;2;0.00;NotApplicable;0;0;1;0.00;11;45565;0.00;8;45565;NotApplicable;2;143099.60
